timestamp;sensor;context_sensor;date (America/Argentina/Buenos_Aires)
1684165335256;1982.0;{};2023-05-15 12:42:15.256000-03:00
1684165334226;2128.0;{};2023-05-15 12:42:14.226000-03:00
1684165333200;3221.0;{};2023-05-15 12:42:13.200000-03:00
1684165322234;2063.0;{};2023-05-15 12:42:02.234000-03:00
1684165321724;1885.0;{};2023-05-15 12:42:01.724000-03:00
1684165319235;2223.0;{};2023-05-15 12:41:59.235000-03:00
1684165318283;2927.0;{};2023-05-15 12:41:58.283000-03:00
1684165317778;2977.0;{};2023-05-15 12:41:57.778000-03:00
1684165316194;3067.0;{};2023-05-15 12:41:56.194000-03:00
1684165314237;2800.0;{};2023-05-15 12:41:54.237000-03:00
1684165313218;1897.0;{};2023-05-15 12:41:53.218000-03:00
1684165312202;1734.0;{};2023-05-15 12:41:52.202000-03:00
1684165310689;2026.0;{};2023-05-15 12:41:50.689000-03:00
1684165306152;1989.0;{};2023-05-15 12:41:46.152000-03:00
1684165304222;637.0;{};2023-05-15 12:41:44.222000-03:00
1684165302213;0.0;{};2023-05-15 12:41:42.213000-03:00
1684165301193;0.0;{};2023-05-15 12:41:41.193000-03:00
1684165300228;1988.0;{};2023-05-15 12:41:40.228000-03:00
1684165294193;2448.0;{};2023-05-15 12:41:34.193000-03:00
1684165293150;2249.0;{};2023-05-15 12:41:33.150000-03:00
1684165291227;1675.0;{};2023-05-15 12:41:31.227000-03:00
1684165289364;1411.0;{};2023-05-15 12:41:29.364000-03:00
1684165288676;417.0;{};2023-05-15 12:41:28.676000-03:00
1684165287200;0.0;{};2023-05-15 12:41:27.200000-03:00
1684165286192;1873.0;{};2023-05-15 12:41:26.192000-03:00
1684165285306;2153.0;{};2023-05-15 12:41:25.306000-03:00
1684165284675;2059.0;{};2023-05-15 12:41:24.675000-03:00
1684165270632;1535.0;{};2023-05-15 12:41:10.632000-03:00
1684165268236;1641.0;{};2023-05-15 12:41:08.236000-03:00
1684165266114;1933.0;{};2023-05-15 12:41:06.114000-03:00
1684165264432;1951.0;{};2023-05-15 12:41:04.432000-03:00
1684165263433;1954.0;{};2023-05-15 12:41:03.433000-03:00
1684165262631;755.0;{};2023-05-15 12:41:02.631000-03:00
1684165261098;1360.0;{};2023-05-15 12:41:01.098000-03:00
1684165259420;1797.0;{};2023-05-15 12:40:59.420000-03:00
1684165258432;317.0;{};2023-05-15 12:40:58.432000-03:00
1684165257628;2870.0;{};2023-05-15 12:40:57.628000-03:00
1684165255422;1957.0;{};2023-05-15 12:40:55.422000-03:00
1684165254402;86.0;{};2023-05-15 12:40:54.402000-03:00
1684165253397;410.0;{};2023-05-15 12:40:53.397000-03:00
1684165252396;3962.0;{};2023-05-15 12:40:52.396000-03:00
1684165251398;4095.0;{};2023-05-15 12:40:51.398000-03:00
1684164953048;4095.0;{};2023-05-15 12:35:53.048000-03:00
1684164952043;4095.0;{};2023-05-15 12:35:52.043000-03:00
1684164951200;4095.0;{};2023-05-15 12:35:51.200000-03:00
1684164948464;4095.0;{};2023-05-15 12:35:48.464000-03:00
1684164946032;4095.0;{};2023-05-15 12:35:46.032000-03:00
1684164945391;4095.0;{};2023-05-15 12:35:45.391000-03:00
1684164943028;4095.0;{};2023-05-15 12:35:43.028000-03:00
1684164942033;4095.0;{};2023-05-15 12:35:42.033000-03:00
1684164941107;4095.0;{};2023-05-15 12:35:41.107000-03:00
1684164940905;4095.0;{};2023-05-15 12:35:40.905000-03:00
1684164939492;4095.0;{};2023-05-15 12:35:39.492000-03:00
1684164937056;4095.0;{};2023-05-15 12:35:37.056000-03:00
1684164936032;4095.0;{};2023-05-15 12:35:36.032000-03:00
1684164935007;4095.0;{};2023-05-15 12:35:35.007000-03:00
1684164934018;4095.0;{};2023-05-15 12:35:34.018000-03:00
1684164933017;4095.0;{};2023-05-15 12:35:33.017000-03:00
1684164932015;4095.0;{};2023-05-15 12:35:32.015000-03:00
1684164931495;0.0;{};2023-05-15 12:35:31.495000-03:00
1684164925008;0.0;{};2023-05-15 12:35:25.008000-03:00
1684164924103;0.0;{};2023-05-15 12:35:24.103000-03:00
1684164923902;0.0;{};2023-05-15 12:35:23.902000-03:00
1684164921138;0.0;{};2023-05-15 12:35:21.138000-03:00
1684164920945;0.0;{};2023-05-15 12:35:20.945000-03:00
1684164918088;0.0;{};2023-05-15 12:35:18.088000-03:00
1684164917994;0.0;{};2023-05-15 12:35:17.994000-03:00
1684164915492;0.0;{};2023-05-15 12:35:15.492000-03:00
